,LT.C2.Fibel,Glasarmring.gerippt,Glasarmring.genoppt,Gürtelkette,Fingerring.mehrfach.gewickelt.plastisch,LT.C1.Fibel,Glasarmring.Fadenauflage,Ring..Fuss..Armring.Blech.um.Eisen.Ton,Hohlbuckelarmringe,Schaukelfingerringe,LT.B2.Fibel,Arm..Fussring.genoppt..plastisch..Vollguss,Arm..Fussring.plastisch.gerippt,Fingerring.flachblech,Kette,Armreif.mit.Korallenauflage,Lanze,LT.B1.Fibel,Schwert,Arm..Fussring.vollguss.massiv,Arm..Fussringe.gerippt.dicht,Draht.Fingerring.runder.QS,Certosafibel,Bernsteinkette,Halsring.plastisch..vollguss,Halsring.hohlblech..geritzt,Glasperlen,Arm..Fussring.einfach.od..geritzt..hohl,LT.A.Fibel,Halsring.m..Muffen,Arm..Fussring.gerippt.vollguss,Hirschgeweih,Armring.mit.Muffen,Arm.Fussring.einfach..vollguss.lochverschluss..Steckverschluss,Halsring.einfach.geritzt..Vollguss,Phase
193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,0,0,0,1,3,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,0,0,0,0,1,6,0,0,0,0,5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,0,0,0,0,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,0,0,0,1,0,1,0,1,2,4,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,0,0,0,0,1,0,0,0,1,2,13,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
